subject,method,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration
zlib_ng_TF_top30,allfails-maxMutants-excludeCCT,98.1,99.37,99.37,100.0,1.47
zlib_ng_TF_top30,rand50-maxMutants-excludeCCT,97.47,98.73,98.73,98.73,0.71
zlib_ng_TF_top30,sbflnaish250-maxMutants-excludeCCT,97.47,98.73,98.73,98.73,0.73
libxml2_TF_top30,allfails-maxMutants-excludeCCT,75.0,76.69,71.19,76.27,27.56
libxml2_TF_top30,rand50-maxMutants-excludeCCT,51.69,54.24,50.0,55.08,13.79
libxml2_TF_top30,sbflnaish250-maxMutants-excludeCCT,75.42,77.97,72.88,78.81,13.98
opencv_features2d_TF_top30,allfails-maxMutants-excludeCCT,60.83,82.08,78.33,90.0,12.76
opencv_features2d_TF_top30,rand50-maxMutants-excludeCCT,59.17,81.67,69.58,85.42,6.36
opencv_features2d_TF_top30,sbflnaish250-maxMutants-excludeCCT,61.25,84.17,72.5,89.17,6.41
opencv_imgproc_TF_top30,allfails-maxMutants-excludeCCT,71.55,79.31,73.71,81.03,9.03
opencv_imgproc_TF_top30,rand50-maxMutants-excludeCCT,56.9,66.38,62.93,70.26,4.51
opencv_imgproc_TF_top30,sbflnaish250-maxMutants-excludeCCT,66.81,75.86,69.83,77.59,4.51
opencv_core_TF_top30,allfails-maxMutants-excludeCCT,68.97,69.4,64.66,69.4,66.62
opencv_core_TF_top30,rand50-maxMutants-excludeCCT,49.14,50.0,48.28,52.16,33.28
opencv_core_TF_top30,sbflnaish250-maxMutants-excludeCCT,69.4,70.69,68.53,75.86,33.47
jsoncpp_TF_top30,allfails-maxMutants-excludeCCT,68.1,69.4,69.4,81.9,2.33
jsoncpp_TF_top30,rand50-maxMutants-excludeCCT,43.53,43.53,56.9,74.57,1.16
jsoncpp_TF_top30,sbflnaish250-maxMutants-excludeCCT,67.67,68.97,77.59,91.38,1.16
